Oscilloscope data. 
Time step = 625,0 uS
Voltage step = 62,50 mV
Zero level = 136

N 	Smpl.	Trig

0	175	0
1	175	0
2	176	0
3	175	0
4	176	0
5	176	0
6	175	0
7	175	0
8	175	0
9	176	0
10	175	0
11	175	0
12	177	0
13	176	0
14	176	0
15	175	0
16	176	0
17	175	0
18	174	0
19	174	0
20	176	0
21	175	0
22	176	0
23	174	0
24	175	0
25	175	0
26	175	0
27	175	0
28	175	0
29	175	0
30	175	0
31	176	0
32	175	0
33	175	0
34	175	0
35	175	0
36	175	0
37	175	0
38	175	0
39	175	0
40	176	0
41	175	0
42	176	0
43	175	0
44	176	0
45	175	0
46	176	0
47	175	0
48	176	0
49	175	0
50	175	0
51	175	0
52	176	0
53	175	0
54	176	0
55	175	0
56	175	0
57	175	0
58	175	0
59	175	0
60	176	0
61	175	0
62	176	0
63	176	0
64	175	0
65	175	0
66	175	0
67	177	0
68	175	0
69	175	0
70	175	0
71	175	0
72	175	0
73	175	0
74	176	0
75	175	0
76	177	0
77	175	0
78	174	0
79	175	0
80	175	0
81	176	0
82	175	0
83	175	0
84	175	0
85	175	0
86	175	0
87	175	0
88	175	0
89	175	0
90	175	0
91	175	0
92	174	0
93	175	0
94	175	0
95	175	0
96	175	0
97	174	0
98	175	0
99	175	0
100	175	0
101	175	0
102	175	0
103	175	0
104	175	0
105	175	0
106	174	0
107	176	0
108	175	0
109	175	0
110	175	0
111	175	0
112	175	0
113	175	0
114	176	0
115	175	0
116	176	0
117	175	0
118	175	0
119	175	0
120	175	0
121	175	0
122	175	0
123	175	0
124	176	0
125	175	0
126	175	0
127	175	0
128	175	0
129	175	0
130	175	0
131	174	0
132	175	0
133	175	0
134	175	0
135	175	0
136	175	0
137	175	0
138	175	0
139	175	0
140	175	0
141	174	0
142	174	0
143	176	0
144	175	0
145	175	0
146	175	0
147	175	0
148	176	0
149	175	0
150	175	0
151	175	0
152	175	0
153	175	0
154	175	0
155	175	0
156	175	0
157	175	0
158	175	0
159	175	0
160	175	0
161	175	0
162	175	0
163	175	0
164	174	0
165	174	0
166	175	0
167	175	0
168	175	0
169	175	0
170	175	0
171	175	0
172	175	0
173	175	0
174	175	0
175	174	0
176	176	0
177	175	0
178	175	0
179	175	0
180	175	0
181	175	0
182	175	0
183	176	0
184	174	0
185	175	0
186	177	0
187	176	0
188	175	0
189	175	0
190	175	0
191	174	0
192	175	0
193	175	0
194	175	0
195	175	0
196	175	0
197	175	0
198	175	0
199	175	0
200	175	0
201	176	0
202	175	0
203	175	0
204	175	0
205	175	0
206	175	0
207	174	0
208	176	0
209	175	0
210	175	0
211	175	0
212	175	0
213	175	0
214	175	0
215	175	0
216	174	0
217	175	0
218	175	0
219	176	0
220	175	0
221	175	0
222	175	0
223	175	0
224	175	0
225	175	0
226	175	0
227	174	0
228	175	0
229	176	0
230	175	0
231	175	0
232	175	0
233	175	0
234	176	0
235	175	0
236	175	0
237	175	0
238	175	0
239	175	0
240	175	0
241	175	0
242	175	0
243	175	0
244	175	0
245	175	0
246	175	0
247	175	0
248	176	0
249	175	0
250	175	0
251	175	0
252	175	0
253	175	0
254	175	0
255	176	0
256	176	0
257	175	0
258	175	0
259	175	0
260	175	0
261	174	0
262	175	0
263	175	0
264	175	0
265	175	0
266	175	0
267	175	0
268	175	0
269	175	0
270	174	0
271	176	0
272	176	0
273	175	0
274	175	0
275	175	0
276	175	0
277	175	0
278	175	0
279	175	0
280	175	0
281	175	0
282	175	0
283	176	0
284	175	0
285	175	0
286	175	0
287	175	0
288	175	0
289	176	0
290	175	0
291	175	0
292	175	0
293	175	0
294	175	0
295	174	0
296	174	0
297	175	0
298	175	0
299	176	0
300	175	0
301	175	0
302	175	0
303	174	0
304	175	0
305	174	0
306	176	0
307	175	0
308	175	0
309	176	0
310	175	0
311	175	0
312	175	0
313	175	0
314	175	0
315	176	0
316	175	0
317	175	0
318	175	0
319	175	0
320	175	0
321	175	0
322	175	0
323	175	0
324	175	0
325	175	0
326	175	0
327	175	0
328	175	0
329	175	0
330	175	0
331	175	0
332	175	0
333	176	0
334	175	0
335	174	0
336	174	0
337	175	0
338	175	0
339	175	0
340	175	0
341	175	0
342	175	0
343	175	0
344	175	0
345	175	0
346	174	0
347	175	0
348	175	0
349	175	0
350	175	0
351	175	0
352	175	0
353	175	0
354	175	0
355	175	0
356	175	0
357	176	0
358	175	0
359	175	0
360	175	0
361	175	0
362	175	0
363	175	0
364	175	0
365	175	0
366	176	0
367	175	0
368	175	0
369	175	0
370	175	0
371	175	0
372	175	0
373	176	0
374	174	0
375	175	0
376	175	0
377	175	0
378	175	0
379	174	0
380	175	0
381	175	0
382	174	0
383	175	0
384	175	0
385	175	0
386	175	0
387	175	0
388	175	0
389	175	0
390	176	0
391	175	0
392	175	0
393	175	0
394	175	0
395	175	0
396	175	0
397	175	0
398	174	0
399	175	0
400	175	0
401	175	0
402	175	0
403	175	0
404	175	0
405	175	0
406	175	0
407	175	0
408	175	0
409	175	0
410	175	0
411	175	0
412	175	0
413	175	0
414	174	0
415	175	0
416	175	0
417	175	0
418	175	0
419	174	0
420	175	0
421	175	0
422	175	0
423	175	0
424	175	0
425	175	0
426	175	0
427	175	0
428	175	0
429	175	0
430	176	0
431	175	0
432	175	0
433	175	0
434	176	0
435	175	0
436	175	0
437	175	0
438	176	0
439	175	0
440	175	0
441	175	0
442	175	0
443	174	0
444	175	0
445	175	0
446	175	0
447	175	0
448	175	0
449	176	0
450	175	0
451	175	0
452	175	0
453	175	0
454	175	0
455	175	0
456	175	0
457	174	0
458	174	0
459	175	0
460	175	0
461	174	0
462	175	0
463	175	0
464	175	0
465	175	0
466	175	0
467	175	0
468	175	0
469	174	0
470	176	0
471	175	0
472	175	0
473	175	0
474	175	0
475	174	0
476	175	0
477	175	0
478	174	0
479	175	0
480	175	0
481	175	0
482	175	0
483	176	0
484	175	0
485	175	0
486	176	0
487	175	0
488	174	0
489	175	0
490	175	0
491	175	0
492	175	0
493	175	0
494	175	0
495	175	0
496	175	0
497	175	0
498	175	0
499	175	0
500	175	0
501	175	0
502	175	0
503	175	0
504	175	0
505	176	0
506	175	0
507	175	0
508	175	0
509	175	0
510	175	0
511	175	0
512	175	0
513	175	0
514	175	0
515	175	0
516	175	0
517	175	0
518	174	0
519	175	0
520	175	0
521	175	0
522	176	0
523	174	0
524	175	0
525	175	0
526	175	0
527	174	0
528	175	0
529	175	0
530	175	0
531	175	0
532	175	0
533	175	0
534	175	0
535	175	0
536	175	0
537	175	0
538	175	0
539	176	0
540	175	0
541	175	0
542	175	0
543	175	0
544	176	0
545	175	0
546	175	0
547	175	0
548	175	0
549	176	0
550	175	0
551	175	0
552	176	0
553	175	0
554	175	0
555	175	0
556	175	0
557	175	0
558	175	0
559	175	0
560	175	0
561	175	0
562	176	0
563	175	0
564	175	0
565	175	0
566	175	0
567	175	0
568	175	0
569	174	0
570	175	0
571	175	0
572	175	0
573	176	0
574	176	0
575	175	0
576	176	0
577	176	0
578	175	0
579	175	0
580	175	0
581	175	0
582	175	0
583	176	0
584	175	0
585	175	0
586	175	0
587	175	0
588	175	0
589	175	0
590	174	0
591	175	0
592	176	0
593	175	0
594	175	0
595	175	0
596	175	0
597	175	0
598	175	0
599	175	0
600	175	0
601	175	0
602	175	0
603	175	0
604	175	0
605	175	0
606	175	0
607	175	0
608	175	0
609	175	0
610	175	0
611	175	0
612	175	0
613	175	0
614	175	0
615	175	0
616	175	0
617	175	0
618	176	0
619	175	0
620	174	0
621	175	0
622	175	0
623	175	0
624	175	0
625	175	0
626	175	0
627	175	0
628	175	0
629	174	0
630	174	0
631	175	0
632	175	0
633	175	0
634	174	0
635	176	0
636	175	0
637	175	0
638	175	0
639	175	0
640	176	0
641	175	0
642	175	0
643	175	0
644	175	0
645	175	0
646	175	0
647	175	0
648	175	0
649	175	0
650	175	0
651	175	0
652	175	0
653	175	0
654	176	0
655	175	0
656	175	0
657	176	0
658	175	0
659	175	0
660	175	0
661	175	0
662	175	0
663	175	0
664	175	0
665	175	0
666	176	0
667	175	0
668	175	0
669	175	0
670	175	0
671	175	0
672	175	0
673	175	0
674	175	0
675	175	0
676	175	0
677	175	0
678	177	0
679	175	0
680	174	0
681	174	0
682	174	0
683	175	0
684	175	0
685	174	0
686	175	0
687	175	0
688	176	0
689	175	0
690	175	0
691	175	0
692	175	0
693	175	0
694	175	0
695	175	0
696	175	0
697	175	0
698	175	0
699	175	0
700	175	0
701	176	0
702	175	0
703	175	0
704	175	0
705	175	0
706	175	0
707	175	0
708	176	0
709	175	0
710	176	0
711	175	0
712	175	0
713	175	0
714	175	0
715	175	0
716	175	0
717	175	0
718	175	0
719	176	0
720	175	0
721	175	0
722	175	0
723	175	0
724	175	0
725	175	0
726	175	0
727	175	0
728	175	0
729	175	0
730	175	0
731	175	0
732	175	0
733	175	0
734	175	0
735	175	0
736	175	0
737	175	0
738	175	0
739	174	0
740	175	0
741	176	0
742	176	0
743	176	0
744	175	0
745	176	0
746	175	0
747	175	0
748	176	0
749	175	0
750	175	0
751	175	0
752	175	0
753	175	0
754	174	0
755	175	0
756	175	0
757	175	0
758	175	0
759	175	0
760	175	0
761	175	0
762	177	0
763	176	0
764	175	0
765	175	0
766	175	0
767	176	0
768	176	0
769	175	0
770	175	0
771	175	0
772	175	0
773	175	0
774	175	0
775	175	0
776	175	0
777	174	0
778	175	0
779	174	0
780	174	0
781	175	0
782	174	0
783	176	0
784	175	0
785	175	0
786	175	0
787	175	0
788	175	0
789	175	0
790	174	0
791	175	0
792	175	0
793	176	0
794	174	0
795	175	0
796	174	0
797	174	0
798	175	0
799	175	0
800	175	0
801	176	0
802	175	0
803	175	0
804	176	0
805	175	0
806	175	0
807	175	0
808	176	0
809	174	0
810	175	0
811	175	0
812	176	0
813	176	0
814	175	0
815	175	0
816	176	0
817	174	0
818	175	0
819	175	0
820	175	0
821	175	0
822	175	0
823	175	0
824	175	0
825	175	0
826	175	0
827	174	0
828	175	0
829	175	0
830	174	0
831	175	0
832	174	0
833	175	0
834	175	0
835	175	0
836	175	0
837	175	0
838	175	0
839	175	0
840	175	0
841	175	0
842	175	0
843	175	0
844	175	0
845	175	0
846	175	0
847	175	0
848	175	0
849	175	0
850	175	0
851	175	0
852	175	0
853	176	0
854	174	0
855	175	0
856	175	0
857	175	0
858	175	0
859	175	0
860	175	0
861	175	0
862	175	0
863	175	0
864	176	0
865	175	0
866	175	0
867	175	0
868	175	0
869	174	0
870	175	0
871	175	0
872	175	0
873	175	0
874	176	0
875	174	0
876	175	0
877	176	0
878	175	0
879	176	0
880	175	0
881	176	0
882	175	0
883	176	0
884	175	0
885	175	0
886	175	0
887	175	0
888	176	0
889	175	0
890	176	0
891	175	0
892	175	0
893	176	0
894	175	0
895	176	0
896	175	0
897	176	0
898	175	0
899	176	0
900	175	0
901	175	0
902	175	0
903	174	0
904	175	0
905	175	0
906	175	0
907	175	0
908	175	0
909	175	0
910	175	0
911	175	0
912	175	0
913	175	0
914	176	0
915	175	0
916	176	0
917	176	0
918	175	0
919	175	0
920	175	0
921	175	0
922	175	0
923	174	0
924	175	0
925	176	0
926	175	0
927	175	0
928	176	0
929	176	0
930	175	0
931	175	0
932	175	0
933	175	0
934	175	0
935	175	0
936	176	0
937	175	0
938	175	0
939	175	0
940	175	0
941	175	0
942	175	0
943	176	0
944	175	0
945	175	0
946	175	0
947	175	0
948	175	0
949	176	0
950	175	0
951	175	0
952	175	0
953	175	0
954	175	0
955	175	0
956	174	0
957	175	0
958	176	0
959	175	0
960	175	0
961	175	0
962	175	0
963	175	0
964	175	0
965	175	0
966	174	0
967	175	0
968	175	0
969	175	0
970	175	0
971	175	0
972	176	0
973	175	0
974	175	0
975	175	0
976	175	0
977	175	0
978	175	0
979	176	0
980	175	0
981	175	0
982	176	0
983	175	0
984	175	0
985	175	0
986	175	0
987	175	0
988	175	0
989	175	0
990	176	0
991	175	0
992	175	0
993	175	0
994	175	0
995	175	0
996	175	0
997	175	0
998	175	0
999	175	0
1000	174	0
1001	174	0
1002	175	0
1003	175	0
1004	175	0
1005	175	0
1006	175	0
1007	175	0
1008	174	0
1009	175	0
1010	175	0
1011	176	0
1012	175	0
1013	175	0
1014	174	0
1015	175	0
1016	175	0
1017	175	0
1018	175	0
1019	175	0
1020	174	0
1021	175	0
1022	175	0
1023	175	0
1024	175	0
1025	176	0
1026	175	0
1027	175	0
1028	176	0
1029	175	0
1030	176	0
1031	175	0
1032	175	0
1033	175	0
1034	176	0
1035	175	0
1036	175	0
1037	175	0
1038	175	0
1039	174	0
1040	175	0
1041	175	0
1042	175	0
1043	175	0
1044	175	0
1045	175	0
1046	175	0
1047	174	0
1048	175	0
1049	175	0
1050	174	0
1051	175	0
1052	175	0
1053	175	0
1054	175	0
1055	175	0
1056	175	0
1057	175	0
1058	175	0
1059	174	0
1060	175	0
1061	175	0
1062	175	0
1063	175	0
1064	175	0
1065	175	0
1066	175	0
1067	175	0
1068	175	0
1069	175	0
1070	175	0
1071	175	0
1072	175	0
1073	175	0
1074	175	0
1075	175	0
1076	174	0
1077	175	0
1078	176	0
1079	175	0
1080	175	0
1081	175	0
1082	175	0
1083	175	0
1084	175	0
1085	175	0
1086	175	0
1087	174	0
1088	175	0
1089	175	0
1090	174	0
1091	175	0
1092	175	0
1093	176	0
1094	174	0
1095	175	0
1096	175	0
1097	176	0
1098	176	0
1099	175	0
1100	177	0
1101	175	0
1102	175	0
1103	175	0
1104	175	0
1105	174	0
1106	175	0
1107	175	0
1108	175	0
1109	175	0
1110	175	0
1111	176	0
1112	175	0
1113	175	0
1114	175	0
1115	176	0
1116	174	0
1117	175	0
1118	175	0
1119	175	0
1120	176	0
1121	176	0
1122	176	0
1123	175	0
1124	175	0
1125	175	0
1126	175	0
1127	175	0
1128	176	0
1129	175	0
1130	174	0
1131	175	0
1132	175	0
1133	175	0
1134	175	0
1135	175	0
1136	175	0
1137	175	0
1138	175	0
1139	176	0
1140	175	0
1141	175	0
1142	175	0
1143	175	0
1144	175	0
1145	175	0
1146	175	0
1147	174	0
1148	175	0
1149	175	0
1150	175	0
1151	175	0
1152	175	0
1153	175	0
1154	175	0
1155	174	0
1156	175	0
1157	175	0
1158	175	0
1159	175	0
1160	175	0
1161	175	0
1162	174	0
1163	175	0
1164	174	0
1165	175	0
1166	175	0
1167	175	0
1168	175	0
1169	175	0
1170	176	0
1171	175	0
1172	175	0
1173	175	0
1174	176	0
1175	175	0
1176	175	0
1177	175	0
1178	175	0
1179	175	0
1180	175	0
1181	176	0
1182	176	0
1183	176	0
1184	175	0
1185	174	0
1186	175	0
1187	175	0
1188	174	0
1189	175	0
1190	175	0
1191	175	0
1192	175	0
1193	175	0
1194	175	0
1195	175	0
1196	175	0
1197	176	0
1198	175	0
1199	175	0
1200	176	0
1201	175	0
1202	175	0
1203	174	0
1204	175	0
1205	175	0
1206	175	0
1207	176	0
1208	175	0
1209	175	0
1210	175	0
1211	175	0
1212	175	0
1213	175	0
1214	175	0
1215	174	0
1216	175	0
1217	175	0
1218	175	0
1219	176	0
1220	176	0
1221	175	0
1222	175	0
1223	176	0
1224	176	0
1225	176	0
1226	174	0
1227	175	0
1228	175	0
1229	175	0
1230	176	0
1231	174	0
1232	176	0
1233	175	0
1234	175	0
1235	175	0
1236	176	0
1237	176	0
1238	175	0
1239	175	0
1240	176	0
1241	174	0
1242	176	0
1243	175	0
1244	175	0
1245	175	0
1246	175	0
1247	176	0
1248	175	0
1249	175	0
1250	176	0
1251	175	0
1252	175	0
1253	176	0
1254	175	0
1255	175	0
1256	175	0
1257	174	0
1258	175	0
1259	175	0
1260	175	0
1261	175	0
1262	175	0
1263	175	0
1264	176	0
1265	175	0
1266	175	0
1267	175	0
1268	174	0
1269	175	0
1270	175	0
1271	175	0
1272	175	0
1273	174	0
1274	175	0
1275	175	0
1276	174	0
1277	175	0
1278	175	0
1279	174	0
1280	175	0
1281	175	0
1282	175	0
1283	175	0
1284	175	0
1285	175	0
1286	175	0
1287	174	0
1288	175	0
1289	175	0
1290	175	0
1291	175	0
1292	175	0
1293	175	0
1294	175	0
1295	175	0
1296	175	0
1297	175	0
1298	175	0
1299	175	0
1300	175	0
1301	175	0
1302	176	0
1303	176	0
1304	175	0
1305	176	0
1306	176	0
1307	176	0
1308	176	0
1309	176	0
1310	177	0
1311	177	0
1312	178	0
1313	178	0
1314	178	0
1315	178	0
1316	178	0
1317	179	0
1318	179	0
1319	178	0
1320	179	0
1321	179	0
1322	179	0
1323	179	0
1324	179	0
1325	180	0
1326	180	0
1327	180	0
1328	180	0
1329	180	0
1330	179	0
1331	180	0
1332	181	0
1333	180	0
1334	180	0
1335	181	0
1336	181	0
1337	181	0
1338	181	0
1339	181	0
1340	181	0
1341	181	0
1342	181	0
1343	181	0
1344	182	0
1345	182	0
1346	182	0
1347	181	0
1348	182	0
1349	182	0
1350	183	0
1351	183	0
1352	183	0
1353	183	0
1354	183	0
1355	183	0
1356	184	0
1357	184	0
1358	183	0
1359	184	0
1360	184	0
1361	184	0
1362	184	0
1363	185	0
1364	184	0
1365	185	0
1366	185	0
1367	184	0
1368	185	0
1369	185	0
1370	185	0
1371	185	0
1372	185	0
1373	186	0
1374	186	0
1375	186	0
1376	186	0
1377	187	0
1378	187	0
1379	187	0
1380	187	0
1381	187	0
1382	187	0
1383	188	0
1384	189	0
1385	188	0
1386	189	0
1387	189	0
1388	189	0
1389	189	0
1390	189	0
1391	189	0
1392	189	0
1393	189	0
1394	189	0
1395	190	0
1396	190	0
1397	190	0
1398	190	0
1399	191	0
1400	190	0
1401	190	0
1402	191	0
1403	190	0
1404	191	0
1405	192	0
1406	192	0
1407	192	0
1408	192	0
1409	192	0
1410	192	0
1411	192	0
1412	192	0
1413	192	0
1414	192	0
1415	192	0
1416	193	0
1417	193	0
1418	193	0
1419	193	0
1420	193	0
1421	193	0
1422	193	0
1423	192	0
1424	193	0
1425	193	0
1426	193	0
1427	194	0
1428	194	0
1429	193	0
1430	193	0
1431	193	0
1432	193	0
1433	193	0
1434	193	0
1435	194	0
1436	193	0
1437	194	0
1438	194	0
1439	193	0
1440	194	0
1441	194	0
1442	193	0
1443	193	0
1444	194	0
1445	194	0
1446	194	0
1447	194	0
1448	193	0
1449	194	0
1450	194	0
1451	194	0
1452	194	0
1453	194	0
1454	194	0
1455	194	0
1456	194	0
1457	194	0
1458	194	0
1459	194	0
1460	194	0
1461	194	0
1462	194	0
1463	194	0
1464	194	0
1465	194	0
1466	194	0
1467	194	0
1468	194	0
1469	194	0
1470	194	0
1471	194	0
1472	194	0
1473	194	0
1474	194	0
1475	194	0
1476	194	0
1477	194	0
1478	194	0
1479	193	0
1480	194	0
1481	194	0
1482	193	0
1483	194	0
1484	194	0
1485	194	0
1486	194	0
1487	194	0
1488	194	0
1489	194	0
1490	194	0
1491	194	0
1492	194	0
1493	194	0
1494	194	0
1495	194	0
1496	194	0
1497	194	0
1498	194	0
1499	194	0
1500	194	0
1501	194	0
1502	194	0
1503	194	0
1504	194	0
1505	195	0
1506	194	0
1507	194	0
1508	194	0
1509	194	0
1510	194	0
1511	194	0
1512	194	0
1513	194	0
1514	194	0
1515	194	0
1516	194	0
1517	194	0
1518	194	0
1519	194	0
1520	194	0
1521	194	0
1522	194	0
1523	194	0
1524	195	0
1525	195	0
1526	194	0
1527	194	0
1528	194	0
1529	194	0
1530	194	0
1531	194	0
1532	195	0
1533	194	0
1534	195	0
1535	195	0
1536	195	0
1537	195	0
1538	195	0
1539	194	0
1540	195	0
1541	195	0
1542	195	0
1543	194	0
1544	195	0
1545	194	0
1546	195	0
1547	195	0
1548	195	0
1549	194	0
1550	194	0
1551	194	0
1552	195	0
1553	195	0
1554	194	0
1555	194	0
1556	195	0
1557	195	0
1558	194	0
1559	194	0
1560	195	0
1561	195	0
1562	195	0
1563	194	0
1564	195	0
1565	194	0
1566	194	0
1567	195	0
1568	194	0
1569	194	0
1570	194	0
1571	195	0
1572	195	0
1573	194	0
1574	194	0
1575	195	0
1576	194	0
1577	195	0
1578	194	0
1579	195	0
1580	194	0
1581	195	0
1582	194	0
1583	195	0
1584	195	0
1585	194	0
1586	195	0
1587	194	0
1588	195	0
1589	194	0
1590	195	0
1591	195	0
1592	194	0
1593	194	0
1594	195	0
1595	194	0
1596	195	0
1597	194	0
1598	194	0
1599	194	0
1600	194	0
1601	194	0
1602	195	0
1603	194	0
1604	194	0
