Oscilloscope data. 
Time step = 2,500 uS
Voltage step = 31,25 mV
Zero level = 53

N 	Smpl.	Trig

0	97	0
1	101	0
2	138	0
3	176	0
4	113	0
5	79	0
6	109	0
7	136	0
8	155	0
9	90	0
10	62	0
11	115	0
12	136	0
13	132	0
14	78	0
15	63	0
16	133	0
17	144	0
18	120	0
19	85	0
20	83	0
21	157	0
22	157	0
23	111	0
24	96	0
25	106	0
26	170	0
27	157	0
28	94	0
29	97	0
30	120	0
31	162	0
32	139	0
33	69	0
34	91	0
35	126	0
36	144	0
37	116	0
38	54	0
39	93	0
40	139	0
41	133	0
42	104	0
43	61	0
44	111	0
45	161	0
46	130	0
47	103	0
48	84	0
49	133	0
50	178	0
51	125	0
52	97	0
53	102	0
54	144	0
55	173	0
56	106	0
57	81	0
58	110	0
59	140	0
60	152	0
61	83	0
62	65	0
63	119	0
64	136	0
65	129	0
66	73	0
67	68	0
68	138	0
69	143	0
70	117	0
71	82	0
72	88	0
73	162	0
74	153	0
75	109	0
76	96	0
77	111	0
78	174	0
79	151	0
80	91	0
81	98	0
82	123	0
83	164	0
84	132	0
85	66	0
86	95	0
87	128	0
88	145	0
89	110	0
90	53	0
91	99	0
92	141	0
93	131	0
94	100	0
95	62	0
96	118	0
97	162	0
98	127	0
99	101	0
100	85	0
101	141	0
102	177	0
103	120	0
104	96	0
105	105	0
106	148	0
107	171	0
108	100	0
109	81	0
110	113	0
111	142	0
112	147	0
113	77	0
114	69	0
115	122	0
116	136	0
117	126	0
118	69	0
119	73	0
120	143	0
121	141	0
122	114	0
123	80	0
124	94	0
125	167	0
126	150	0
127	106	0
128	95	0
129	115	0
130	177	0
131	145	0
132	89	0
133	100	0
134	125	0
135	165	0
136	125	0
137	65	0
138	98	0
139	129	0
140	144	0
141	104	0
142	53	0
143	105	0
144	142	0
145	129	0
146	96	0
147	64	0
148	127	0
149	162	0
150	125	0
151	98	0
152	87	0
153	147	0
154	176	0
155	114	0
156	96	0
157	106	0
158	152	0
159	167	0
160	93	0
161	83	0
162	116	0
163	145	0
164	143	0
165	71	0
166	72	0
167	125	0
168	136	0
169	122	0
170	65	0
171	78	0
172	147	0
173	139	0
174	113	0
175	78	0
176	100	0
177	170	0
178	145	0
179	105	0
180	96	0
181	121	0
182	179	0
183	138	0
184	88	0
185	101	0
186	129	0
187	165	0
188	117	0
189	64	0
190	102	0
191	132	0
192	143	0
193	97	0
194	53	0
195	111	0
196	142	0
197	128	0
198	92	0
199	65	0
200	133	0
201	161	0
202	121	0
203	97	0
204	89	0
205	154	0
206	172	0
207	111	0
208	97	0
209	109	0
210	157	0
211	162	0
212	89	0
213	85	0
214	117	0
215	146	0
216	138	0
217	66	0
218	77	0
219	129	0
220	136	0
221	119	0
222	62	0
223	85	0
224	149	0
225	137	0
226	109	0
227	77	0
228	107	0
229	173	0
230	141	0
231	103	0
232	96	0
233	126	0
234	180	0
235	131	0
236	86	0
237	104	0
238	133	0
239	165	0
240	110	0
241	65	0
242	106	0
