Oscilloscope data. 
Time step = 200,0 nS
Voltage step = 31,25 mV
Zero level = 130

N 	Smpl.	Trig

0	98	0
1	90	0
2	84	0
3	77	0
4	72	0
5	68	0
6	67	0
7	67	0
8	67	0
9	69	0
10	72	0
11	78	0
12	83	0
13	91	0
14	99	0
15	108	0
16	117	0
17	127	0
18	136	0
19	146	0
20	155	0
21	163	0
22	171	0
23	179	0
24	184	0
25	189	0
26	193	0
27	195	0
28	195	0
29	195	0
30	191	0
31	187	0
32	183	0
33	176	0
34	169	0
35	161	0
36	152	0
37	143	0
38	132	0
39	123	0
40	113	0
41	104	0
42	96	0
43	88	0
44	81	0
45	75	0
46	71	0
47	67	0
48	66	0
49	67	0
50	67	0
51	69	0
52	75	0
53	79	0
54	86	0
55	93	0
56	101	0
57	111	0
58	120	0
59	130	0
60	139	0
61	148	0
62	159	0
63	167	0
64	174	0
65	181	0
66	187	0
67	191	0
68	193	0
69	195	0
70	195	0
71	193	0
72	191	0
73	187	0
74	180	0
75	174	0
76	167	0
77	159	0
78	148	0
79	139	0
80	130	0
81	120	0
82	111	0
83	101	0
84	93	0
85	86	0
86	79	0
87	73	0
88	69	0
89	67	0
90	67	0
91	67	0
92	67	0
93	71	0
94	76	0
95	80	0
96	88	0
97	96	0
98	104	0
99	113	0
100	123	0
101	133	0
102	143	0
103	152	0
104	161	0
105	169	0
106	176	0
107	183	0
108	188	0
109	191	0
110	195	0
111	195	0
112	195	0
113	192	0
114	189	0
115	184	0
116	179	0
117	171	0
118	163	0
119	155	0
120	145	0
121	135	0
122	127	0
123	116	0
124	107	0
125	99	0
126	91	0
127	84	0
128	77	0
129	72	0
130	68	0
131	67	0
132	66	0
133	67	0
134	69	0
135	72	0
136	77	0
137	83	0
138	91	0
139	99	0
140	107	0
141	117	0
142	127	0
143	136	0
144	147	0
145	155	0
146	164	0
147	172	0
148	179	0
149	184	0
150	189	0
151	192	0
152	195	0
153	195	0
154	195	0
155	191	0
156	187	0
157	183	0
158	176	0
159	169	0
160	160	0
161	151	0
162	143	0
163	132	0
164	123	0
165	114	0
166	104	0
167	96	0
168	88	0
169	81	0
170	75	0
171	71	0
172	67	0
173	66	0
174	67	0
175	67	0
176	69	0
177	75	0
178	80	0
179	86	0
180	93	0
181	101	0
182	111	0
183	120	0
184	130	0
185	139	0
186	148	0
187	159	0
188	167	0
189	175	0
190	181	0
191	187	0
192	191	0
193	193	0
194	195	0
195	195	0
196	193	0
197	191	0
198	187	0
199	180	0
200	174	0
201	167	0
202	158	0
203	148	0
204	139	0
205	129	0
206	120	0
207	111	0
208	102	0
209	93	0
210	86	0
211	80	0
212	75	0
213	70	0
214	67	0
215	67	0
216	66	0
217	68	0
218	72	0
219	76	0
220	80	0
221	88	0
222	96	0
223	104	0
224	113	0
225	123	0
226	132	0
227	143	0
228	152	0
229	161	0
230	169	0
231	176	0
232	183	0
233	188	0
234	191	0
235	195	0
236	195	0
237	195	0
238	192	0
239	189	0
240	184	0
241	179	0
242	171	0
243	163	0
244	155	0
245	145	0
246	136	0
247	126	0
248	117	0
249	107	0
250	99	0
251	91	0
252	84	0
253	77	0
254	72	0
255	68	0
256	67	0
257	67	0
258	67	0
259	68	0
260	72	0
261	78	0
262	83	0
263	91	0
264	99	0
265	107	0
266	117	0
267	127	0
268	136	0
269	147	0
270	155	0
271	163	0
272	172	0
273	179	0
274	184	0
275	189	0
276	192	0
277	195	0
278	195	0
279	194	0
280	191	0
281	188	0
282	183	0
283	176	0
284	169	0
285	160	0
286	152	0
287	143	0
288	132	0
289	123	0
290	113	0
291	104	0
292	95	0
293	88	0
294	81	0
295	75	0
296	71	0
297	67	0
298	66	0
299	67	0
300	67	0
301	69	0
302	75	0
303	79	0
304	86	0
305	93	0
306	101	0
307	111	0
308	120	0
309	129	0
310	139	0
311	149	0
312	159	0
313	167	0
314	174	0
315	181	0
316	187	0
317	191	0
318	193	0
319	195	0
320	195	0
321	193	0
322	191	0
323	187	0
324	180	0
325	175	0
326	167	0
327	159	0
328	148	0
329	139	0
330	131	0
331	119	0
332	111	0
333	101	0
334	92	0
335	86	0
336	79	0
337	75	0
338	70	0
339	67	0
340	67	0
341	67	0
342	68	0
343	71	0
344	76	0
345	80	0
346	88	0
347	96	0
348	104	0
349	113	0
350	123	0
351	133	0
352	143	0
353	152	0
354	160	0
355	168	0
356	176	0
357	183	0
358	188	0
359	191	0
360	195	0
361	195	0
362	195	0
363	192	0
364	189	0
365	184	0
366	179	0
367	171	0
368	163	0
369	155	0
370	145	0
371	136	0
372	127	0
373	117	0
374	107	0
375	99	0
376	91	0
377	83	0
378	77	0
379	73	0
380	69	0
381	67	0
382	67	0
383	67	0
384	68	0
385	72	0
386	77	0
387	83	0
388	91	0
389	99	0
390	107	0
391	117	0
392	127	0
393	136	0
394	146	0
395	155	0
396	163	0
397	171	0
398	179	0
399	184	0
400	189	0
401	192	0
402	195	0
403	195	0
404	194	0
405	191	0
406	187	0
407	183	0
408	176	0
409	168	0
410	160	0
411	151	0
412	143	0
413	132	0
414	123	0
415	113	0
416	104	0
417	95	0
418	88	0
419	81	0
420	75	0
421	71	0
422	67	0
423	66	0
424	67	0
425	67	0
426	69	0
427	75	0
428	80	0
429	85	0
430	93	0
431	101	0
432	111	0
433	120	0
434	130	0
435	139	0
436	149	0
437	159	0
438	167	0
439	174	0
440	181	0
441	186	0
442	191	0
443	193	0
444	195	0
445	195	0
446	193	0
447	191	0
448	187	0
449	180	0
450	175	0
451	167	0
452	159	0
453	148	0
454	139	0
455	129	0
456	120	0
457	110	0
458	101	0
459	92	0
460	87	0
461	79	0
462	74	0
463	70	0
464	67	0
465	66	0
466	66	0
467	68	0
468	71	0
469	75	0
470	80	0
471	88	0
472	96	0
473	104	0
474	113	0
475	123	0
476	133	0
477	143	0
478	152	0
479	161	0
480	170	0
481	176	0
482	183	0
483	188	0
484	191	0
485	195	0
486	195	0
487	195	0
488	192	0
489	189	0
490	184	0
491	179	0
492	171	0
493	163	0
494	155	0
495	147	0
496	136	0
497	127	0
498	116	0
499	107	0
500	99	0
501	91	0
502	83	0
503	77	0
504	72	0
505	68	0
506	67	0
507	67	0
508	67	0
509	68	0
510	72	0
511	77	0
512	83	0
513	91	0
514	99	0
515	107	0
516	117	0
517	127	0
518	136	0
519	147	0
520	155	0
521	164	0
522	172	0
523	179	0
524	185	0
525	189	0
526	192	0
527	195	0
528	195	0
529	194	0
530	192	0
531	188	0
532	183	0
533	176	0
534	168	0
535	160	0
536	151	0
537	143	0
538	132	0
539	123	0
540	113	0
541	104	0
542	95	0
543	88	0
544	81	0
545	75	0
546	71	0
547	67	0
548	67	0
549	67	0
550	67	0
551	70	0
552	75	0
553	79	0
554	86	0
555	93	0
556	101	0
557	111	0
558	120	0
559	130	0
560	139	0
561	148	0
562	158	0
563	167	0
564	174	0
565	180	0
566	187	0
567	191	0
568	193	0
569	195	0
570	195	0
571	193	0
572	191	0
573	187	0
574	180	0
575	175	0
576	167	0
577	159	0
578	148	0
579	139	0
580	130	0
581	119	0
582	111	0
583	101	0
584	93	0
585	86	0
586	79	0
587	74	0
588	71	0
589	67	0
590	67	0
591	67	0
592	68	0
593	71	0
594	75	0
595	80	0
596	88	0
597	96	0
598	104	0
599	114	0
600	123	0
601	133	0
602	143	0
603	152	0
604	160	0
605	169	0
606	176	0
607	183	0
608	187	0
609	191	0
610	195	0
611	195	0
612	195	0
613	192	0
614	189	0
615	184	0
616	179	0
617	171	0
618	163	0
619	155	0
620	145	0
621	136	0
622	126	0
623	117	0
624	107	0
625	99	0
626	90	0
627	83	0
628	77	0
629	72	0
630	68	0
631	67	0
632	67	0
633	67	0
634	69	0
635	72	0
636	77	0
637	84	0
638	91	0
639	99	0
640	107	0
641	117	0
642	127	0
643	136	0
644	146	0
645	155	0
646	164	0
647	171	0
648	179	0
649	184	0
650	189	0
651	193	0
652	195	0
653	195	0
654	195	0
655	191	0
656	188	0
657	183	0
658	176	0
659	169	0
660	160	0
661	151	0
662	143	0
663	132	0
664	123	0
665	113	0
666	104	0
667	95	0
668	87	0
669	81	0
670	75	0
671	71	0
672	68	0
673	67	0
674	67	0
675	67	0
676	69	0
677	75	0
678	80	0
679	87	0
680	93	0
681	100	0
682	111	0
683	120	0
684	129	0
685	139	0
686	148	0
687	159	0
688	167	0
689	174	0
690	181	0
691	187	0
692	191	0
693	194	0
694	195	0
695	195	0
696	193	0
697	191	0
698	187	0
699	180	0
700	173	0
701	167	0
702	159	0
703	148	0
704	139	0
705	131	0
706	120	0
707	111	0
708	100	0
709	92	0
710	85	0
711	79	0
712	74	0
713	69	0
714	67	0
715	66	0
716	66	0
717	68	0
718	71	0
719	75	0
720	82	0
721	88	0
722	96	0
723	104	0
724	115	0
725	123	0
726	132	0
727	143	0
728	152	0
729	161	0
730	169	0
731	176	0
732	183	0
733	188	0
734	191	0
735	195	0
736	195	0
737	195	0
738	192	0
739	189	0
740	184	0
741	179	0
742	171	0
743	163	0
744	155	0
745	145	0
746	136	0
747	127	0
748	116	0
749	107	0
750	99	0
751	90	0
752	83	0
753	77	0
754	72	0
755	68	0
756	67	0
757	67	0
758	67	0
759	68	0
760	72	0
761	78	0
762	83	0
763	91	0
764	100	0
765	107	0
766	117	0
767	127	0
768	136	0
769	146	0
770	155	0
771	163	0
772	171	0
773	179	0
774	185	0
775	189	0
776	193	0
777	195	0
778	195	0
779	193	0
780	191	0
781	188	0
782	183	0
783	176	0
784	169	0
785	160	0
786	152	0
787	143	0
788	132	0
789	123	0
790	115	0
791	104	0
792	95	0
793	88	0
794	81	0
795	76	0
796	71	0
797	67	0
798	66	0
799	66	0
800	67	0
801	70	0
802	75	0
803	80	0
804	87	0
805	93	0
806	101	0
807	111	0
808	120	0
809	130	0
810	139	0
811	148	0
812	159	0
813	167	0
814	174	0
815	181	0
816	187	0
817	191	0
818	193	0
819	195	0
820	195	0
821	193	0
822	191	0
823	187	0
824	180	0
825	175	0
826	166	0
827	159	0
828	148	0
829	139	0
830	131	0
831	120	0
832	111	0
833	102	0
834	93	0
835	87	0
836	79	0
837	75	0
838	70	0
839	67	0
840	66	0
841	66	0
842	68	0
843	71	0
844	75	0
845	82	0
846	88	0
847	96	0
848	105	0
849	113	0
850	123	0
851	133	0
852	143	0
853	152	0
854	160	0
855	169	0
856	176	0
857	183	0
858	188	0
859	191	0
860	194	0
861	195	0
862	195	0
863	192	0
864	189	0
865	184	0
866	179	0
867	171	0
868	163	0
869	155	0
870	146	0
871	135	0
872	127	0
873	116	0
874	107	0
875	99	0
876	91	0
877	83	0
878	77	0
879	72	0
880	69	0
881	67	0
882	67	0
883	67	0
884	69	0
885	72	0
886	77	0
887	83	0
888	91	0
889	99	0
890	108	0
891	116	0
892	127	0
893	136	0
894	145	0
895	155	0
896	163	0
897	172	0
898	179	0
899	184	0
900	189	0
901	193	0
902	195	0
903	195	0
904	195	0
905	191	0
906	187	0
907	183	0
908	176	0
909	168	0
910	160	0
911	151	0
912	143	0
913	132	0
914	123	0
915	114	0
916	104	0
917	95	0
918	88	0
919	81	0
920	75	0
921	71	0
922	68	0
923	66	0
924	67	0
925	67	0
926	71	0
927	75	0
928	79	0
929	87	0
930	93	0
931	101	0
932	111	0
933	120	0
934	130	0
935	139	0
936	149	0
937	159	0
938	167	0
939	174	0
940	181	0
941	187	0
942	191	0
943	193	0
944	195	0
945	195	0
946	193	0
947	191	0
948	187	0
949	180	0
950	175	0
951	167	0
952	159	0
953	148	0
954	139	0
955	129	0
956	120	0
957	111	0
958	102	0
959	93	0
960	85	0
961	79	0
962	75	0
963	69	0
964	67	0
965	66	0
966	67	0
967	68	0
968	71	0
969	76	0
970	82	0
971	88	0
972	96	0
973	105	0
974	114	0
975	123	0
976	132	0
977	143	0
978	152	0
979	160	0
980	169	0
981	176	0
982	183	0
983	188	0
984	191	0
985	195	0
986	195	0
987	195	0
988	192	0
989	189	0
990	184	0
991	179	0
992	171	0
993	164	0
994	155	0
995	145	0
996	136	0
997	126	0
998	117	0
999	107	0
