Oscilloscope data. 
Time step = 10,00 nS
Voltage step = 31,25 mV
Zero level = 130

N 	Smpl.	Trig

0	94	0
1	93	0
2	166	0
3	200	0
4	167	0
5	123	0
6	162	0
7	197	0
8	167	0
9	123	0
10	132	0
11	97	0
12	96	0
13	165	0
14	167	0
15	93	0
16	63	0
17	93	0
18	139	0
19	128	0
20	135	0
21	125	0
22	135	0
23	97	0
24	95	0
25	137	0
26	129	0
27	135	0
28	95	0
29	65	0
30	64	0
31	67	0
32	67	0
33	67	0
34	67	0
35	67	0
36	68	0
37	95	0
38	136	0
39	99	0
40	65	0
41	93	0
42	138	0
43	98	0
44	96	0
45	165	0
46	201	0
47	198	0
48	165	0
49	123	0
50	132	0
51	127	0
52	135	0
53	126	0
54	163	0
55	197	0
56	199	0
57	166	0
58	124	0
59	132	0
60	127	0
61	163	0
62	165	0
63	94	0
64	61	0
65	67	0
66	96	0
67	137	0
68	98	0
69	65	0
70	93	0
71	139	0
72	128	0
73	135	0
74	96	0
75	66	0
76	94	0
77	139	0
78	128	0
79	135	0
80	96	0
81	95	0
82	136	0
83	129	0
84	163	0
85	165	0
86	94	0
87	62	0
88	65	0
89	67	0
90	66	0
91	67	0
92	67	0
93	95	0
94	137	0
95	128	0
96	135	0
97	96	0
98	95	0
99	136	0
100	131	0
101	163	0
102	166	0
103	95	0
104	94	0
105	167	0
106	200	0
107	167	0
108	123	0
109	132	0
110	127	0
111	135	0
112	96	0
113	64	0
114	64	0
115	68	0
116	67	0
117	96	0
118	137	0
119	99	0
120	95	0
121	164	0
122	168	0
123	93	0
124	94	0
125	166	0
126	200	0
127	199	0
128	164	0
129	92	0
130	93	0
131	136	0
132	99	0
133	96	0
134	165	0
135	200	0
136	167	0
137	91	0
138	63	0
139	95	0
140	166	0
141	167	0
142	93	0
143	62	0
144	64	0
145	68	0
146	96	0
147	167	0
148	200	0
149	199	0
150	195	0
151	196	0
152	196	0
153	166	0
154	124	0
155	132	0
156	97	0
157	95	0
158	165	0
159	200	0
160	199	0
161	165	0
162	124	0
163	163	0
164	198	0
165	199	0
166	195	0
167	164	0
168	92	0
169	63	0
170	94	0
171	138	0
172	98	0
173	96	0
174	165	0
175	168	0
176	94	0
177	94	0
178	165	0
179	169	0
180	125	0
181	161	0
182	197	0
183	199	0
184	164	0
185	92	0
186	95	0
187	167	0
188	200	0
189	165	0
190	92	0
191	92	0
192	136	0
193	99	0
194	65	0
195	95	0
196	167	0
197	167	0
198	93	0
199	61	0
200	67	0
201	97	0
202	166	0
203	199	0
204	198	0
205	195	0
206	165	0
207	123	0
208	132	0
209	127	0
210	163	0
211	166	0
212	95	0
213	93	0
214	167	0
215	200	0
216	199	0
217	164	0
218	92	0
219	93	0
220	136	0
221	99	0
222	95	0
223	136	0
224	129	0
225	135	0
226	96	0
227	95	0
228	136	0
229	131	0
230	163	0
231	167	0
232	127	0
233	160	0
234	197	0
235	165	0
236	90	0
237	63	0
238	66	0
239	97	0
240	165	0
241	168	0
242	95	0
243	92	0
244	137	0
245	130	0
246	135	0
247	127	0
248	135	0
249	127	0
250	163	0
251	166	0
252	93	0
253	63	0
254	95	0
255	139	0
256	128	0
257	135	0
258	127	0
259	163	0
260	166	0
261	127	0
262	163	0
263	197	0
264	167	0
265	123	0
266	162	0
267	167	0
268	95	0
269	92	0
270	136	0
271	99	0
272	64	0
273	95	0
274	166	0
275	200	0
276	198	0
277	164	0
278	92	0
279	63	0
280	95	0
281	167	0
282	199	0
283	167	0
284	91	0
285	63	0
286	95	0
287	167	0
288	199	0
289	167	0
290	91	0
291	63	0
292	96	0
293	167	0
294	200	0
295	197	0
296	163	0
297	91	0
298	63	0
299	66	0
300	97	0
301	166	0
302	200	0
303	199	0
304	195	0
305	196	0
306	196	0
307	165	0
308	124	0
309	161	0
310	167	0
311	127	0
312	162	0
313	197	0
314	199	0
315	195	0
316	195	0
317	165	0
318	125	0
319	161	0
320	166	0
321	93	0
322	62	0
323	95	0
324	166	0
325	169	0
326	125	0
327	132	0
328	126	0
329	135	0
330	96	0
331	96	0
332	165	0
333	200	0
334	199	0
335	164	0
336	123	0
337	162	0
338	198	0
339	166	0
340	90	0
341	63	0
342	95	0
343	139	0
344	128	0
345	135	0
346	126	0
347	135	0
348	126	0
349	163	0
350	197	0
351	167	0
352	91	0
353	95	0
354	166	0
355	200	0
356	166	0
357	92	0
358	92	0
359	136	0
360	99	0
361	95	0
362	164	0
363	169	0
364	125	0
365	131	0
366	96	0
367	96	0
368	165	0
369	169	0
370	125	0
371	131	0
372	96	0
373	97	0
374	165	0
375	167	0
376	94	0
377	63	0
378	95	0
379	167	0
380	199	0
381	167	0
382	92	0
383	92	0
384	137	0
385	130	0
386	163	0
387	196	0
388	167	0
389	92	0
390	92	0
391	137	0
392	130	0
393	136	0
394	125	0
395	135	0
396	96	0
397	66	0
398	92	0
399	138	0
400	128	0
401	163	0
402	196	0
403	167	0
404	123	0
405	162	0
406	198	0
407	199	0
408	164	0
409	92	0
410	93	0
411	137	0
412	99	0
413	95	0
414	136	0
415	130	0
416	163	0
417	167	0
418	126	0
419	132	0
420	96	0
421	65	0
422	64	0
423	95	0
424	137	0
425	128	0
426	163	0
427	196	0
428	167	0
429	92	0
430	95	0
431	165	0
432	169	0
433	125	0
434	131	0
435	97	0
436	95	0
437	135	0
438	99	0
439	95	0
440	165	0
441	200	0
442	199	0
443	165	0
444	123	0
445	132	0
446	96	0
447	65	0
448	64	0
449	96	0
450	165	0
451	168	0
452	126	0
453	161	0
454	197	0
455	199	0
456	165	0
457	124	0
458	162	0
459	166	0
460	93	0
461	62	0
462	95	0
463	166	0
464	168	0
465	127	0
466	162	0
467	197	0
468	167	0
469	123	0
470	163	0
471	198	0
472	199	0
473	195	0
474	196	0
475	196	0
476	165	0
477	123	0
478	161	0
479	198	0
480	199	0
481	195	0
482	196	0
483	196	0
484	196	0
485	195	0
486	163	0
487	92	0
488	95	0
489	165	0
